Current Configuration: {'resume': '', 'sched_type': None, 'batch_size': 512, 'base_lr': 0.05, 'wd': 0.0001, 'epochs': 600, 'init_lr': 0.1}
Epoch: 95, Loss: -0.8288990345391085, Cur LR: 0.1
Epoch: 96, Loss: -0.9836609262340471, Cur LR: 0.1
Epoch: 97, Loss: -0.9690607969865858, Cur LR: 0.1
Epoch: 98, Loss: -0.9749771191638967, Cur LR: 0.1
Epoch: 99, Loss: -0.978574256102244, Cur LR: 0.1
Epoch: 100, Loss: -0.9798424708768259, Cur LR: 0.1
Epoch: 101, Loss: -0.9815652505406796, Cur LR: 0.1
Epoch: 102, Loss: -0.9822038622022424, Cur LR: 0.1
Epoch: 103, Loss: -0.9818550573205048, Cur LR: 0.1
Epoch: 104, Loss: -0.9808502429686249, Cur LR: 0.1
Epoch: 105, Loss: -0.8484513039858831, Cur LR: 0.1
Epoch: 106, Loss: -0.9795804184937627, Cur LR: 0.1
Epoch: 107, Loss: -0.9660374091106388, Cur LR: 0.1
Epoch: 108, Loss: -0.9707079574746909, Cur LR: 0.1
Epoch: 109, Loss: -0.9716229933612752, Cur LR: 0.1
Epoch: 110, Loss: -0.9559442948245406, Cur LR: 0.1
Epoch: 111, Loss: -0.832650675338769, Cur LR: 0.1
Epoch: 112, Loss: -0.8852752057261433, Cur LR: 0.1
Epoch: 113, Loss: -0.8803297566167965, Cur LR: 0.1
Epoch: 114, Loss: -0.8747037116836455, Cur LR: 0.1
Epoch: 115, Loss: -0.925117789199517, Cur LR: 0.1
Epoch: 116, Loss: -0.9373879548888537, Cur LR: 0.1
Epoch: 117, Loss: -0.9386721298379724, Cur LR: 0.1
Epoch: 118, Loss: -0.9383435496744119, Cur LR: 0.1
Epoch: 119, Loss: -0.9379136389906305, Cur LR: 0.1
Epoch: 120, Loss: -0.933297702351456, Cur LR: 0.1
Epoch: 121, Loss: -0.9280308102661702, Cur LR: 0.1
Epoch: 122, Loss: -0.9098666377787312, Cur LR: 0.1
Epoch: 123, Loss: -0.9005010469154747, Cur LR: 0.1
Epoch: 124, Loss: -0.8972470437955558, Cur LR: 0.1
Epoch: 125, Loss: -0.9007153739719274, Cur LR: 0.1
Epoch: 126, Loss: -0.9111292066064272, Cur LR: 0.1
Epoch: 127, Loss: -0.896315112803717, Cur LR: 0.1
Epoch: 128, Loss: -0.9130914972263315, Cur LR: 0.1
Epoch: 129, Loss: -0.9288953370268234, Cur LR: 0.1
Epoch: 130, Loss: -0.9543155079367776, Cur LR: 0.1
Epoch: 131, Loss: -0.9475195775241974, Cur LR: 0.1
Epoch: 132, Loss: -0.9408717867713302, Cur LR: 0.1
Epoch: 133, Loss: -0.9320598889446856, Cur LR: 0.1
Epoch: 134, Loss: -0.9271264072484197, Cur LR: 0.1
Epoch: 135, Loss: -0.9233716726303101, Cur LR: 0.1
Epoch: 136, Loss: -0.9210410545457087, Cur LR: 0.1
Epoch: 137, Loss: -0.9210850543945843, Cur LR: 0.1
Epoch: 138, Loss: -0.9191045937298224, Cur LR: 0.1
Epoch: 139, Loss: -0.917141182242699, Cur LR: 0.1
Epoch: 140, Loss: -0.9089663939655954, Cur LR: 0.1
Epoch: 141, Loss: -0.9087630922689384, Cur LR: 0.1
Epoch: 142, Loss: -0.8591499613515984, Cur LR: 0.1
Epoch: 143, Loss: -0.9031267983358606, Cur LR: 0.1
Epoch: 144, Loss: -0.8859640626037639, Cur LR: 0.1
Epoch: 145, Loss: -0.8836377296807637, Cur LR: 0.1
Epoch: 146, Loss: -0.8832474084770157, Cur LR: 0.1
